¿Cuál océano se encuentra en la costa este de los Estados Unidos? ,Atlántico,,
Este,Pacífico,Atlántico,Indíco
¿Cuál es la montaña más alta del mundo? ,Monte Everest,,
Kilimanjaro,Makalu,K2,Monte Everest
¿Cuál es la capital de Brasil? ,Brasilia,,
Rio de Janeiro,Brasilia,Sâo Pablo,Brasil
¿Cuál es el segundo continente más grande del mundo? ,África,,
Europa,Antártida,África,Norteamérica
¿Cuál es el país más poblado del mundo? ,China,,
China,India,Rusia,Indonesia
¿En qué continente se encuentra Israel? ,Asia,,
Medio Oriente,Europa,Asia,África
¿Cuántos países hay en el mundo? ,196,,
214,189,196,192
¿Cuál de estas ciudades no se encuentra en Europa? ,Estambul,,
Praga,Barcelona,Estambul,Reykjavik
¿Cuál es la ciudad más poblada del mundo? ,Tokio,,
Ciudad de México,Shanghai,Tokio,Delhi
¿Cuántos países conforman el Reino Unido? ,4,,
5,8,6,4
